POSCAR used: POSCAR_1
Execution time: 0.281627 seconds
Execution time: 0.257928 seconds
Execution time: 0.257716 seconds
Execution time: 0.267944 seconds
Execution time: 0.258151 seconds
Execution time: 0.425748 seconds
Execution time: 0.257103 seconds
Execution time: 0.251838 seconds
Execution time: 0.251917 seconds
Execution time: 0.253987 seconds
Execution time: 0.258114 seconds
Execution time: 0.256682 seconds
Execution time: 0.266852 seconds
Execution time: 0.260181 seconds
Execution time: 0.255860 seconds
Execution time: 0.252605 seconds
Execution time: 0.252217 seconds
Execution time: 0.253062 seconds
Execution time: 0.252072 seconds
Execution time: 0.252234 seconds
Execution time: 0.308562 seconds
Execution time: 0.258488 seconds
Execution time: 0.252670 seconds
Execution time: 0.252737 seconds
Execution time: 0.252078 seconds
Execution time: 0.253258 seconds
Execution time: 0.252946 seconds
Execution time: 0.252070 seconds
Execution time: 0.313046 seconds
Execution time: 0.252968 seconds
Execution time: 0.252776 seconds
Execution time: 0.252043 seconds
Execution time: 0.252889 seconds
Execution time: 0.252743 seconds
Execution time: 0.252734 seconds
Execution time: 0.256979 seconds
Execution time: 0.258415 seconds
Execution time: 0.253790 seconds
Execution time: 0.251646 seconds
Execution time: 0.253970 seconds
Execution time: 0.252878 seconds
Execution time: 0.253864 seconds
Execution time: 0.253007 seconds
Execution time: 0.258754 seconds
Execution time: 0.257408 seconds
Execution time: 0.253526 seconds
Execution time: 0.252150 seconds
Execution time: 0.252335 seconds
Execution time: 0.252773 seconds
Execution time: 0.252950 seconds
Execution time: 0.252109 seconds
Execution time: 0.291133 seconds
Execution time: 0.252986 seconds
Execution time: 0.252476 seconds
Execution time: 0.253176 seconds
Execution time: 0.253031 seconds
Execution time: 0.252879 seconds
Execution time: 0.252982 seconds
Execution time: 0.252572 seconds
Execution time: 0.383055 seconds
Execution time: 0.257605 seconds
Execution time: 0.327208 seconds
Execution time: 0.261879 seconds
Execution time: 0.286613 seconds
Execution time: 0.254287 seconds
Execution time: 0.252622 seconds
Execution time: 0.326859 seconds
Execution time: 0.255607 seconds
Execution time: 0.253238 seconds
Execution time: 0.254021 seconds
Execution time: 0.253014 seconds
Execution time: 0.290713 seconds
Execution time: 0.253854 seconds
Execution time: 0.261610 seconds
Execution time: 0.258488 seconds
Execution time: 0.253390 seconds
Execution time: 0.253560 seconds
Execution time: 0.252630 seconds
Execution time: 0.255285 seconds
Execution time: 0.254334 seconds
Execution time: 0.253063 seconds
Execution time: 0.304922 seconds
Execution time: 0.253253 seconds
Execution time: 0.252917 seconds
Execution time: 0.251861 seconds
Execution time: 0.253630 seconds
Execution time: 0.253133 seconds
Execution time: 0.252866 seconds
Execution time: 0.253686 seconds
Execution time: 0.344226 seconds
Execution time: 0.254156 seconds
Execution time: 0.251927 seconds
Execution time: 0.253538 seconds
Execution time: 0.253095 seconds
Execution time: 0.253593 seconds
Execution time: 0.253199 seconds
Execution time: 0.258245 seconds
Execution time: 0.255734 seconds
Execution time: 0.253628 seconds
Execution time: 0.253246 seconds
Average execution time: 0.262774 seconds
