POSCAR used: POSCAR_1
Execution time: 0.338826 seconds
Execution time: 0.263140 seconds
Execution time: 0.268578 seconds
Execution time: 0.265496 seconds
Execution time: 0.258859 seconds
Execution time: 0.257390 seconds
Execution time: 0.261704 seconds
Execution time: 0.432914 seconds
Execution time: 0.252267 seconds
Execution time: 0.251533 seconds
Execution time: 0.256689 seconds
Execution time: 0.257641 seconds
Execution time: 0.255007 seconds
Execution time: 0.255436 seconds
Execution time: 0.255037 seconds
Execution time: 0.269575 seconds
Execution time: 0.251361 seconds
Execution time: 0.251420 seconds
Execution time: 0.255323 seconds
Execution time: 0.251187 seconds
Execution time: 0.252311 seconds
Execution time: 0.251403 seconds
Execution time: 0.261228 seconds
Execution time: 0.279228 seconds
Execution time: 0.250427 seconds
Execution time: 0.251335 seconds
Execution time: 0.255403 seconds
Execution time: 0.252742 seconds
Execution time: 0.251855 seconds
Execution time: 0.251067 seconds
Execution time: 0.289461 seconds
Execution time: 0.252984 seconds
Execution time: 0.251693 seconds
Execution time: 0.251456 seconds
Execution time: 0.255015 seconds
Execution time: 0.252120 seconds
Execution time: 0.251879 seconds
Execution time: 0.253979 seconds
Execution time: 0.314855 seconds
Execution time: 0.251627 seconds
Execution time: 0.250450 seconds
Execution time: 0.260981 seconds
Execution time: 0.273149 seconds
Execution time: 0.271436 seconds
Execution time: 0.372158 seconds
Execution time: 0.330453 seconds
Execution time: 0.252082 seconds
Execution time: 0.251358 seconds
Execution time: 0.252015 seconds
Execution time: 0.251338 seconds
Execution time: 0.251729 seconds
Execution time: 0.250779 seconds
Execution time: 0.251365 seconds
Execution time: 0.301012 seconds
Execution time: 0.252548 seconds
Execution time: 0.252787 seconds
Execution time: 0.254694 seconds
Execution time: 0.252263 seconds
Execution time: 0.251313 seconds
Execution time: 0.251616 seconds
Execution time: 0.257801 seconds
Execution time: 0.253065 seconds
Execution time: 0.252531 seconds
Execution time: 0.251592 seconds
Execution time: 0.255866 seconds
Execution time: 0.251545 seconds
Execution time: 0.251365 seconds
Execution time: 0.251372 seconds
Execution time: 0.276745 seconds
Execution time: 0.252840 seconds
Execution time: 0.251429 seconds
Execution time: 0.252509 seconds
Execution time: 0.256617 seconds
Execution time: 0.252888 seconds
Execution time: 0.250821 seconds
Execution time: 0.251506 seconds
Execution time: 0.311063 seconds
Execution time: 0.252089 seconds
Execution time: 0.251942 seconds
Execution time: 0.250853 seconds
Execution time: 0.253180 seconds
Execution time: 0.252545 seconds
Execution time: 0.255068 seconds
Execution time: 0.252718 seconds
Execution time: 0.314546 seconds
Execution time: 0.253568 seconds
Execution time: 0.251943 seconds
Execution time: 0.255452 seconds
Execution time: 0.261495 seconds
Execution time: 0.252351 seconds
Execution time: 0.253052 seconds
Execution time: 0.258515 seconds
Execution time: 0.253737 seconds
Execution time: 0.253522 seconds
Execution time: 0.252517 seconds
Execution time: 0.254701 seconds
Execution time: 0.251695 seconds
Execution time: 0.251607 seconds
Execution time: 0.252847 seconds
Execution time: 0.270254 seconds
Average execution time: 0.262187 seconds
