POSCAR used: POSCAR_1
Execution time: 2.390836 seconds
Execution time: 1.383645 seconds
Execution time: 1.358683 seconds
Execution time: 1.305974 seconds
Execution time: 1.332821 seconds
Execution time: 1.371740 seconds
Execution time: 1.307711 seconds
Execution time: 1.330611 seconds
Execution time: 1.357612 seconds
Execution time: 1.306382 seconds
Execution time: 1.327684 seconds
Execution time: 1.361415 seconds
Execution time: 1.324800 seconds
Execution time: 1.802755 seconds
Execution time: 1.613923 seconds
Execution time: 1.385649 seconds
Execution time: 1.315019 seconds
Execution time: 1.321040 seconds
Execution time: 1.369062 seconds
Execution time: 1.327185 seconds
Execution time: 1.311210 seconds
Execution time: 1.363201 seconds
Execution time: 1.315184 seconds
Execution time: 1.313705 seconds
Execution time: 1.362556 seconds
Execution time: 1.340638 seconds
Execution time: 1.310751 seconds
Execution time: 1.365308 seconds
Execution time: 1.310383 seconds
Execution time: 1.311764 seconds
Execution time: 1.355805 seconds
Execution time: 1.307598 seconds
Execution time: 1.312307 seconds
Execution time: 1.359370 seconds
Execution time: 1.305589 seconds
Execution time: 1.364406 seconds
Execution time: 1.361955 seconds
Execution time: 1.492450 seconds
Execution time: 1.369475 seconds
Execution time: 1.369859 seconds
Execution time: 1.300367 seconds
Execution time: 1.329152 seconds
Execution time: 1.424177 seconds
Execution time: 1.309388 seconds
Execution time: 1.309128 seconds
Execution time: 1.369497 seconds
Execution time: 1.307651 seconds
Execution time: 1.307346 seconds
Execution time: 1.366819 seconds
Execution time: 1.308096 seconds
Execution time: 1.309359 seconds
Execution time: 1.363275 seconds
Execution time: 1.308409 seconds
Execution time: 1.337104 seconds
Execution time: 1.363776 seconds
Execution time: 1.302783 seconds
Execution time: 1.307354 seconds
Execution time: 1.361788 seconds
Execution time: 1.308173 seconds
Execution time: 1.340098 seconds
Execution time: 1.377910 seconds
Execution time: 1.306182 seconds
Execution time: 1.325690 seconds
Execution time: 1.362072 seconds
Execution time: 1.308108 seconds
Execution time: 1.330730 seconds
Execution time: 1.391622 seconds
Execution time: 1.310815 seconds
Execution time: 1.309838 seconds
Execution time: 1.367693 seconds
Execution time: 1.311976 seconds
Execution time: 1.311338 seconds
Execution time: 1.371593 seconds
Execution time: 1.311974 seconds
Execution time: 1.307681 seconds
Execution time: 1.361820 seconds
Execution time: 1.307652 seconds
Execution time: 1.331337 seconds
Execution time: 1.363781 seconds
Execution time: 1.306909 seconds
Execution time: 1.327631 seconds
Execution time: 1.428241 seconds
Execution time: 1.328364 seconds
Execution time: 1.307866 seconds
Execution time: 1.381146 seconds
Execution time: 1.310630 seconds
Execution time: 1.312840 seconds
Execution time: 1.379501 seconds
Execution time: 1.311231 seconds
Execution time: 1.310126 seconds
Execution time: 1.361117 seconds
Execution time: 1.340527 seconds
Execution time: 1.301147 seconds
Execution time: 1.364849 seconds
Execution time: 1.304843 seconds
Execution time: 1.301147 seconds
Execution time: 1.396290 seconds
Execution time: 1.301994 seconds
Execution time: 1.303759 seconds
Execution time: 1.365978 seconds
Average execution time: 1.355477 seconds
