POSCAR used: POSCAR_0
Execution time: 0.009959 seconds
Execution time: 0.000546 seconds
Execution time: 0.041700 seconds
Execution time: 0.007506 seconds
Execution time: 0.000489 seconds
Execution time: 0.000471 seconds
Execution time: 0.000456 seconds
Execution time: 0.000457 seconds
Execution time: 0.000448 seconds
Execution time: 0.000454 seconds
Execution time: 0.045118 seconds
Execution time: 0.001104 seconds
Execution time: 0.000506 seconds
Execution time: 0.017590 seconds
Execution time: 0.000424 seconds
Execution time: 0.000392 seconds
Execution time: 0.004475 seconds
Execution time: 0.009599 seconds
Execution time: 0.000438 seconds
Execution time: 0.000397 seconds
Execution time: 0.001105 seconds
Execution time: 0.003414 seconds
Execution time: 0.000403 seconds
Execution time: 0.003722 seconds
Execution time: 0.000427 seconds
Execution time: 0.006179 seconds
Execution time: 0.000407 seconds
Execution time: 0.000393 seconds
Execution time: 0.022296 seconds
Execution time: 0.010035 seconds
Execution time: 0.000382 seconds
Execution time: 0.000358 seconds
Execution time: 0.001662 seconds
Execution time: 0.000373 seconds
Execution time: 0.030248 seconds
Execution time: 0.000368 seconds
Execution time: 0.000355 seconds
Execution time: 0.015905 seconds
Execution time: 0.000529 seconds
Execution time: 0.003999 seconds
Execution time: 0.000532 seconds
Execution time: 0.011379 seconds
Execution time: 0.000549 seconds
Execution time: 0.000487 seconds
Execution time: 0.000751 seconds
Execution time: 0.001084 seconds
Execution time: 0.000557 seconds
Execution time: 0.012781 seconds
Execution time: 0.000504 seconds
Execution time: 0.000588 seconds
Execution time: 0.000528 seconds
Execution time: 0.001493 seconds
Execution time: 0.015205 seconds
Execution time: 0.014385 seconds
Execution time: 0.000806 seconds
Execution time: 0.032478 seconds
Execution time: 0.000559 seconds
Execution time: 0.003529 seconds
Execution time: 0.002092 seconds
Execution time: 0.000528 seconds
Execution time: 0.001536 seconds
Execution time: 0.000531 seconds
Execution time: 0.003301 seconds
Execution time: 0.000516 seconds
Execution time: 0.003346 seconds
Execution time: 0.000510 seconds
Execution time: 0.003409 seconds
Execution time: 0.000517 seconds
Execution time: 0.002587 seconds
Execution time: 0.002151 seconds
Execution time: 0.000895 seconds
Execution time: 0.000503 seconds
Execution time: 0.000509 seconds
Execution time: 0.004890 seconds
Execution time: 0.000454 seconds
Execution time: 0.016156 seconds
Execution time: 0.000587 seconds
Execution time: 0.015910 seconds
Execution time: 0.005279 seconds
Execution time: 0.001662 seconds
Execution time: 0.000519 seconds
Execution time: 0.003761 seconds
Execution time: 0.000509 seconds
Execution time: 0.004281 seconds
Execution time: 0.000465 seconds
Execution time: 0.003539 seconds
Execution time: 0.000481 seconds
Execution time: 0.000462 seconds
Execution time: 0.000454 seconds
Execution time: 0.010881 seconds
Execution time: 0.000591 seconds
Execution time: 0.002494 seconds
Execution time: 0.000527 seconds
Execution time: 0.005542 seconds
Execution time: 0.007078 seconds
Execution time: 0.000646 seconds
Execution time: 0.000548 seconds
Execution time: 0.000512 seconds
Execution time: 0.000535 seconds
Execution time: 0.019621 seconds
Execution time: 0.000641 seconds
Execution time: 0.000452 seconds
Execution time: 0.000572 seconds
Execution time: 0.000964 seconds
Execution time: 0.001200 seconds
Execution time: 0.000469 seconds
Execution time: 0.002632 seconds
Execution time: 0.002736 seconds
Execution time: 0.000485 seconds
Execution time: 0.003124 seconds
Execution time: 0.003362 seconds
Execution time: 0.008917 seconds
Execution time: 0.000451 seconds
Execution time: 0.000429 seconds
Execution time: 0.000357 seconds
Execution time: 0.000798 seconds
Execution time: 0.018254 seconds
Execution time: 0.000430 seconds
Execution time: 0.001777 seconds
Execution time: 0.000362 seconds
Execution time: 0.000352 seconds
Execution time: 0.000343 seconds
Execution time: 0.000354 seconds
Execution time: 0.000348 seconds
Execution time: 0.000349 seconds
Execution time: 0.000346 seconds
Execution time: 0.000347 seconds
Execution time: 0.000344 seconds
Execution time: 0.000344 seconds
Execution time: 0.000375 seconds
Execution time: 0.000347 seconds
Execution time: 0.000334 seconds
Execution time: 0.000349 seconds
Execution time: 0.000335 seconds
Execution time: 0.000354 seconds
Execution time: 0.000346 seconds
Execution time: 0.000343 seconds
Execution time: 0.000346 seconds
Execution time: 0.000346 seconds
Execution time: 0.000349 seconds
Execution time: 0.000349 seconds
Execution time: 0.000547 seconds
Execution time: 0.000670 seconds
Execution time: 0.000433 seconds
Execution time: 0.000344 seconds
Execution time: 0.000348 seconds
Execution time: 0.000338 seconds
Execution time: 0.000335 seconds
Execution time: 0.000345 seconds
Execution time: 0.000332 seconds
Execution time: 0.000355 seconds
Execution time: 0.000348 seconds
Execution time: 0.000424 seconds
Execution time: 0.000366 seconds
Execution time: 0.000381 seconds
Execution time: 0.000412 seconds
Execution time: 0.000362 seconds
Execution time: 0.000339 seconds
Execution time: 0.000380 seconds
Execution time: 0.000358 seconds
Execution time: 0.000349 seconds
Execution time: 0.000390 seconds
Execution time: 0.000360 seconds
Execution time: 0.000383 seconds
Execution time: 0.000357 seconds
Execution time: 0.000354 seconds
Execution time: 0.000351 seconds
Execution time: 0.000345 seconds
Execution time: 0.000353 seconds
Execution time: 0.000352 seconds
Execution time: 0.000385 seconds
Execution time: 0.000348 seconds
Execution time: 0.000350 seconds
Execution time: 0.000348 seconds
Execution time: 0.000337 seconds
Execution time: 0.000338 seconds
Execution time: 0.000337 seconds
Execution time: 0.000329 seconds
Execution time: 0.001363 seconds
Execution time: 0.000346 seconds
Execution time: 0.000338 seconds
Execution time: 0.000341 seconds
Execution time: 0.000365 seconds
Execution time: 0.000348 seconds
Execution time: 0.000326 seconds
Execution time: 0.000405 seconds
Execution time: 0.000408 seconds
Execution time: 0.000410 seconds
Execution time: 0.000406 seconds
Execution time: 0.000392 seconds
Execution time: 0.000394 seconds
Execution time: 0.000340 seconds
Execution time: 0.000386 seconds
Execution time: 0.000395 seconds
Execution time: 0.000386 seconds
Execution time: 0.000397 seconds
Execution time: 0.000428 seconds
Execution time: 0.000393 seconds
Execution time: 0.000400 seconds
Execution time: 0.000382 seconds
Execution time: 0.000395 seconds
Execution time: 0.000394 seconds
Execution time: 0.000403 seconds
Execution time: 0.000528 seconds
Execution time: 0.000382 seconds
Execution time: 0.000419 seconds
Execution time: 0.000340 seconds
Execution time: 0.000325 seconds
Execution time: 0.000517 seconds
Execution time: 0.000328 seconds
Execution time: 0.000328 seconds
Execution time: 0.000322 seconds
Execution time: 0.000321 seconds
Execution time: 0.000525 seconds
Execution time: 0.000778 seconds
Execution time: 0.000566 seconds
Execution time: 0.000338 seconds
Execution time: 0.000347 seconds
Execution time: 0.000351 seconds
Execution time: 0.000337 seconds
Execution time: 0.000335 seconds
Execution time: 0.000340 seconds
Execution time: 0.000339 seconds
Execution time: 0.000341 seconds
Execution time: 0.000344 seconds
Execution time: 0.000363 seconds
Execution time: 0.000360 seconds
Execution time: 0.000337 seconds
Execution time: 0.000340 seconds
Execution time: 0.000331 seconds
Execution time: 0.000334 seconds
Execution time: 0.000360 seconds
Execution time: 0.000348 seconds
Execution time: 0.000337 seconds
Execution time: 0.000329 seconds
Execution time: 0.000345 seconds
Execution time: 0.000336 seconds
Execution time: 0.000393 seconds
Execution time: 0.000332 seconds
Execution time: 0.000327 seconds
Execution time: 0.000519 seconds
Execution time: 0.000356 seconds
Execution time: 0.000350 seconds
Execution time: 0.000336 seconds
Execution time: 0.000335 seconds
Execution time: 0.000330 seconds
Execution time: 0.000326 seconds
Execution time: 0.000331 seconds
Execution time: 0.000334 seconds
