POSCAR used: POSCAR_0
Execution time: 0.993772 seconds
Execution time: 0.023729 seconds
Execution time: 0.023954 seconds
Execution time: 0.004382 seconds
Execution time: 0.000655 seconds
Execution time: 0.000872 seconds
Execution time: 0.000853 seconds
Execution time: 0.000875 seconds
Execution time: 0.001383 seconds
Execution time: 0.001061 seconds
Execution time: 0.000851 seconds
Execution time: 0.000826 seconds
Execution time: 0.000790 seconds
Execution time: 0.000803 seconds
Execution time: 0.000771 seconds
Execution time: 0.000770 seconds
Execution time: 0.000799 seconds
Execution time: 0.000798 seconds
Execution time: 0.000765 seconds
Execution time: 0.000759 seconds
Execution time: 0.000764 seconds
Execution time: 0.000768 seconds
Execution time: 0.000799 seconds
Execution time: 0.000794 seconds
Execution time: 0.000800 seconds
Execution time: 0.000925 seconds
Execution time: 0.001298 seconds
Execution time: 0.000848 seconds
Execution time: 0.000811 seconds
Execution time: 0.000772 seconds
Execution time: 0.000791 seconds
Execution time: 0.000778 seconds
Execution time: 0.000767 seconds
Execution time: 0.000776 seconds
Execution time: 0.002125 seconds
Execution time: 0.000794 seconds
Execution time: 0.000788 seconds
Execution time: 0.000859 seconds
Execution time: 0.000827 seconds
Execution time: 0.000787 seconds
Execution time: 0.000793 seconds
Execution time: 0.000829 seconds
Execution time: 0.000772 seconds
Execution time: 0.001431 seconds
Execution time: 0.000839 seconds
Execution time: 0.000809 seconds
Execution time: 0.000802 seconds
Execution time: 0.000794 seconds
Execution time: 0.000806 seconds
Execution time: 0.000810 seconds
Execution time: 0.000777 seconds
Execution time: 0.000772 seconds
Execution time: 0.000772 seconds
Execution time: 0.000786 seconds
Execution time: 0.000771 seconds
Execution time: 0.000938 seconds
Execution time: 0.000772 seconds
Execution time: 0.000770 seconds
Execution time: 0.000793 seconds
Execution time: 0.000781 seconds
Execution time: 0.000809 seconds
Execution time: 0.000852 seconds
Execution time: 0.001411 seconds
Execution time: 0.000794 seconds
Execution time: 0.000801 seconds
Execution time: 0.000785 seconds
Execution time: 0.000772 seconds
Execution time: 0.000806 seconds
Execution time: 0.000823 seconds
Execution time: 0.000785 seconds
Execution time: 0.000791 seconds
Execution time: 0.000787 seconds
Execution time: 0.000838 seconds
Execution time: 0.000794 seconds
Execution time: 0.000795 seconds
Execution time: 0.000784 seconds
Execution time: 0.000783 seconds
Execution time: 0.000810 seconds
Execution time: 0.000796 seconds
Execution time: 0.000790 seconds
Execution time: 0.001248 seconds
Execution time: 0.000894 seconds
Execution time: 0.000802 seconds
Execution time: 0.000822 seconds
Execution time: 0.000814 seconds
Execution time: 0.000714 seconds
Execution time: 0.000761 seconds
Execution time: 0.000766 seconds
Execution time: 0.000738 seconds
Execution time: 0.000778 seconds
Execution time: 0.000749 seconds
Execution time: 0.000742 seconds
Execution time: 0.000797 seconds
Execution time: 0.000648 seconds
Execution time: 0.000634 seconds
Execution time: 0.000806 seconds
Execution time: 0.000771 seconds
Execution time: 0.000752 seconds
Execution time: 0.000766 seconds
Execution time: 0.001441 seconds
Execution time: 0.000803 seconds
Execution time: 0.000738 seconds
Execution time: 0.000741 seconds
Execution time: 0.000748 seconds
Execution time: 0.000734 seconds
Execution time: 0.000761 seconds
Execution time: 0.000757 seconds
Execution time: 0.000735 seconds
Execution time: 0.000730 seconds
Execution time: 0.000770 seconds
Execution time: 0.000730 seconds
Execution time: 0.000745 seconds
Execution time: 0.000748 seconds
Execution time: 0.000751 seconds
Execution time: 0.000726 seconds
Execution time: 0.000740 seconds
Execution time: 0.000807 seconds
Execution time: 0.000657 seconds
Execution time: 0.001384 seconds
Execution time: 0.001015 seconds
Execution time: 0.000766 seconds
Execution time: 0.000747 seconds
Execution time: 0.000747 seconds
Execution time: 0.000760 seconds
Execution time: 0.000706 seconds
Execution time: 0.000778 seconds
Execution time: 0.000740 seconds
Execution time: 0.000744 seconds
Execution time: 0.000732 seconds
Execution time: 0.000697 seconds
Execution time: 0.000793 seconds
Execution time: 0.000646 seconds
Execution time: 0.000646 seconds
Execution time: 0.000698 seconds
Execution time: 0.000697 seconds
Execution time: 0.000779 seconds
Execution time: 0.000831 seconds
Execution time: 0.001118 seconds
Execution time: 0.000749 seconds
Execution time: 0.000711 seconds
Execution time: 0.000706 seconds
Execution time: 0.000730 seconds
Execution time: 0.000766 seconds
Execution time: 0.000704 seconds
Execution time: 0.000703 seconds
Execution time: 0.000712 seconds
Execution time: 0.000738 seconds
Execution time: 0.000747 seconds
Execution time: 0.000716 seconds
Execution time: 0.000707 seconds
Execution time: 0.000747 seconds
Execution time: 0.000702 seconds
Execution time: 0.000721 seconds
Execution time: 0.000698 seconds
Execution time: 0.000715 seconds
Execution time: 0.000725 seconds
Execution time: 0.000700 seconds
Execution time: 0.000873 seconds
Execution time: 0.001056 seconds
Execution time: 0.000731 seconds
Execution time: 0.000780 seconds
Execution time: 0.000722 seconds
Execution time: 0.000700 seconds
Execution time: 0.000754 seconds
Execution time: 0.000696 seconds
Execution time: 0.000716 seconds
Execution time: 0.000700 seconds
Execution time: 0.000706 seconds
Execution time: 0.000705 seconds
Execution time: 0.000723 seconds
Execution time: 0.000693 seconds
Execution time: 0.000747 seconds
Execution time: 0.000700 seconds
Execution time: 0.000735 seconds
Execution time: 0.000704 seconds
Execution time: 0.000690 seconds
Execution time: 0.000740 seconds
Execution time: 0.000798 seconds
Execution time: 0.001007 seconds
Execution time: 0.000747 seconds
Execution time: 0.000882 seconds
Execution time: 0.000860 seconds
Execution time: 0.000854 seconds
Execution time: 0.000859 seconds
Execution time: 0.000851 seconds
Execution time: 0.000835 seconds
Execution time: 0.000840 seconds
Execution time: 0.000834 seconds
Execution time: 0.000798 seconds
Execution time: 0.000796 seconds
Execution time: 0.000782 seconds
Execution time: 0.000778 seconds
Execution time: 0.000780 seconds
Execution time: 0.000775 seconds
Execution time: 0.000780 seconds
Execution time: 0.000869 seconds
Execution time: 0.001244 seconds
Execution time: 0.000840 seconds
Execution time: 0.000810 seconds
Execution time: 0.000810 seconds
Execution time: 0.000784 seconds
Execution time: 0.000784 seconds
Execution time: 0.000794 seconds
Execution time: 0.000787 seconds
Execution time: 0.000800 seconds
Execution time: 0.000764 seconds
Execution time: 0.000783 seconds
Execution time: 0.000801 seconds
Execution time: 0.000770 seconds
Execution time: 0.000816 seconds
Execution time: 0.000836 seconds
Execution time: 0.000776 seconds
Execution time: 0.000780 seconds
Execution time: 0.000803 seconds
Execution time: 0.000802 seconds
Execution time: 0.001683 seconds
Execution time: 0.000873 seconds
Execution time: 0.000840 seconds
Execution time: 0.000862 seconds
Execution time: 0.000828 seconds
Execution time: 0.000812 seconds
Execution time: 0.000790 seconds
Execution time: 0.000772 seconds
Execution time: 0.000798 seconds
Execution time: 0.000818 seconds
Execution time: 0.000786 seconds
Execution time: 0.000772 seconds
Execution time: 0.000823 seconds
Execution time: 0.000776 seconds
Execution time: 0.000828 seconds
Execution time: 0.000779 seconds
Execution time: 0.000796 seconds
Execution time: 0.000898 seconds
Execution time: 0.001636 seconds
Execution time: 0.002656 seconds
Execution time: 0.000791 seconds
Execution time: 0.000812 seconds
Execution time: 0.000813 seconds
Execution time: 0.000796 seconds
Execution time: 0.000781 seconds
Execution time: 0.000776 seconds
Execution time: 0.000800 seconds
Execution time: 0.000790 seconds
Execution time: 0.000783 seconds
Execution time: 0.000832 seconds
Execution time: 0.000809 seconds
Execution time: 0.000833 seconds
Execution time: 0.000803 seconds
Execution time: 0.000958 seconds
Execution time: 0.003615 seconds
Execution time: 0.000879 seconds
Execution time: 0.000870 seconds
Execution time: 0.000862 seconds
Execution time: 0.000879 seconds
Execution time: 0.000830 seconds
Execution time: 0.000833 seconds
Execution time: 0.000858 seconds
Execution time: 0.000835 seconds
Execution time: 0.000839 seconds
Execution time: 0.000861 seconds
Execution time: 0.000854 seconds
Execution time: 0.000836 seconds
Execution time: 0.000823 seconds
Execution time: 0.000859 seconds
Execution time: 0.001024 seconds
Execution time: 0.001153 seconds
Execution time: 0.000871 seconds
Execution time: 0.000854 seconds
Execution time: 0.000853 seconds
Execution time: 0.000820 seconds
Execution time: 0.000814 seconds
Execution time: 0.000793 seconds
Execution time: 0.000769 seconds
Execution time: 0.000777 seconds
Execution time: 0.000798 seconds
Execution time: 0.000814 seconds
Execution time: 0.000782 seconds
Execution time: 0.000794 seconds
Execution time: 0.000796 seconds
Execution time: 0.000808 seconds
Execution time: 0.000775 seconds
Execution time: 0.000807 seconds
Execution time: 0.000775 seconds
Execution time: 0.001729 seconds
Execution time: 0.000878 seconds
Execution time: 0.000966 seconds
Execution time: 0.000852 seconds
Execution time: 0.000878 seconds
Execution time: 0.000815 seconds
Execution time: 0.000865 seconds
Execution time: 0.000800 seconds
Execution time: 0.000800 seconds
Execution time: 0.000774 seconds
Execution time: 0.000783 seconds
Execution time: 0.000848 seconds
Execution time: 0.000784 seconds
Execution time: 0.000776 seconds
Execution time: 0.000778 seconds
Execution time: 0.000794 seconds
Execution time: 0.000792 seconds
Execution time: 0.000973 seconds
Execution time: 0.001430 seconds
Execution time: 0.000890 seconds
Execution time: 0.000861 seconds
Execution time: 0.000849 seconds
Execution time: 0.000861 seconds
Execution time: 0.000813 seconds
Execution time: 0.000825 seconds
Execution time: 0.000796 seconds
Execution time: 0.000797 seconds
Execution time: 0.000758 seconds
Execution time: 0.000746 seconds
Execution time: 0.000638 seconds
Execution time: 0.000753 seconds
Execution time: 0.000743 seconds
Execution time: 0.000768 seconds
Execution time: 0.000745 seconds
Execution time: 0.000655 seconds
Execution time: 0.000741 seconds
Execution time: 0.001188 seconds
Execution time: 0.000853 seconds
Execution time: 0.000651 seconds
Execution time: 0.000650 seconds
Execution time: 0.000767 seconds
Execution time: 0.000741 seconds
Execution time: 0.000748 seconds
Execution time: 0.000787 seconds
Execution time: 0.000753 seconds
Execution time: 0.000761 seconds
Execution time: 0.000807 seconds
Execution time: 0.000744 seconds
Execution time: 0.000764 seconds
Execution time: 0.000747 seconds
Execution time: 0.000778 seconds
Execution time: 0.000730 seconds
Execution time: 0.000737 seconds
Execution time: 0.000768 seconds
Execution time: 0.000742 seconds
Execution time: 0.000749 seconds
Execution time: 0.000848 seconds
Execution time: 0.003555 seconds
Execution time: 0.000689 seconds
Execution time: 0.011899 seconds
Execution time: 0.005007 seconds
Execution time: 0.002571 seconds
Execution time: 0.001533 seconds
Execution time: 0.003422 seconds
Execution time: 0.003891 seconds
Execution time: 0.000888 seconds
Execution time: 0.000788 seconds
Execution time: 0.000840 seconds
Execution time: 0.000871 seconds
Execution time: 0.001729 seconds
Execution time: 0.002513 seconds
Execution time: 0.000787 seconds
Execution time: 0.000797 seconds
Execution time: 0.000802 seconds
Execution time: 0.000805 seconds
Execution time: 0.000794 seconds
Execution time: 0.000788 seconds
Execution time: 0.000790 seconds
Execution time: 0.000807 seconds
Execution time: 0.000801 seconds
Execution time: 0.000853 seconds
Execution time: 0.002469 seconds
Execution time: 0.000743 seconds
Execution time: 0.002003 seconds
Execution time: 0.000815 seconds
Execution time: 0.000790 seconds
Execution time: 0.000788 seconds
Execution time: 0.000816 seconds
Execution time: 0.000741 seconds
Execution time: 0.000751 seconds
Execution time: 0.000747 seconds
Execution time: 0.000768 seconds
Execution time: 0.000753 seconds
Execution time: 0.000724 seconds
Execution time: 0.000764 seconds
Execution time: 0.000729 seconds
Execution time: 0.000757 seconds
Execution time: 0.000823 seconds
Execution time: 0.003599 seconds
Execution time: 0.001360 seconds
Execution time: 0.002319 seconds
Execution time: 0.000823 seconds
Execution time: 0.000781 seconds
Execution time: 0.000802 seconds
