POSCAR used: POSCAR_0
Execution time: 0.006546 seconds
Execution time: 0.001916 seconds
Execution time: 0.001233 seconds
Execution time: 0.001003 seconds
Execution time: 0.001087 seconds
Execution time: 0.001069 seconds
Execution time: 0.000963 seconds
Execution time: 0.001013 seconds
Execution time: 0.000971 seconds
Execution time: 0.001176 seconds
Execution time: 0.001151 seconds
Execution time: 0.001080 seconds
Execution time: 0.001782 seconds
Execution time: 0.001278 seconds
Execution time: 0.001142 seconds
Execution time: 0.001112 seconds
Execution time: 0.001728 seconds
Execution time: 0.001096 seconds
Execution time: 0.001012 seconds
Execution time: 0.001276 seconds
Execution time: 0.001587 seconds
Execution time: 0.001245 seconds
Execution time: 0.001794 seconds
Execution time: 0.001212 seconds
Execution time: 0.001022 seconds
Execution time: 0.000994 seconds
Execution time: 0.000974 seconds
Execution time: 0.001040 seconds
Execution time: 0.000985 seconds
Execution time: 0.000963 seconds
Execution time: 0.001186 seconds
Execution time: 0.002150 seconds
Execution time: 0.001232 seconds
Execution time: 0.001061 seconds
Execution time: 0.001002 seconds
Execution time: 0.000986 seconds
Execution time: 0.000997 seconds
Execution time: 0.000962 seconds
Execution time: 0.000987 seconds
Execution time: 0.000971 seconds
Execution time: 0.000971 seconds
Execution time: 0.001037 seconds
Execution time: 0.001772 seconds
Execution time: 0.001623 seconds
Execution time: 0.001219 seconds
Execution time: 0.001069 seconds
Execution time: 0.000954 seconds
Execution time: 0.000975 seconds
Execution time: 0.000972 seconds
Execution time: 0.000985 seconds
Execution time: 0.000958 seconds
Execution time: 0.000963 seconds
Execution time: 0.001026 seconds
Execution time: 0.001018 seconds
Execution time: 0.001262 seconds
Execution time: 0.002383 seconds
Execution time: 0.001861 seconds
Execution time: 0.001643 seconds
Execution time: 0.001088 seconds
Execution time: 0.000953 seconds
Execution time: 0.001006 seconds
Execution time: 0.001034 seconds
Execution time: 0.001913 seconds
Execution time: 0.001041 seconds
Execution time: 0.002232 seconds
Execution time: 0.001494 seconds
Execution time: 0.001229 seconds
Execution time: 0.001090 seconds
Execution time: 0.001094 seconds
Execution time: 0.001086 seconds
Execution time: 0.001078 seconds
Execution time: 0.001081 seconds
Execution time: 0.001207 seconds
Execution time: 0.001061 seconds
Execution time: 0.001221 seconds
Execution time: 0.002006 seconds
Execution time: 0.001251 seconds
Execution time: 0.001096 seconds
Execution time: 0.001102 seconds
Execution time: 0.001057 seconds
Execution time: 0.000992 seconds
Execution time: 0.001021 seconds
Execution time: 0.000997 seconds
Execution time: 0.001038 seconds
Execution time: 0.000984 seconds
Execution time: 0.001026 seconds
Execution time: 0.001985 seconds
Execution time: 0.001572 seconds
Execution time: 0.001294 seconds
Execution time: 0.001084 seconds
Execution time: 0.001039 seconds
Execution time: 0.000953 seconds
Execution time: 0.001018 seconds
Execution time: 0.000972 seconds
Execution time: 0.000974 seconds
Execution time: 0.001701 seconds
Execution time: 0.001275 seconds
Execution time: 0.001967 seconds
Execution time: 0.001507 seconds
Execution time: 0.001248 seconds
Average execution time: 0.001277 seconds
