POSCAR used: POSCAR_0
Execution time: 0.007977 seconds
Execution time: 0.002009 seconds
Execution time: 0.002504 seconds
Execution time: 0.001771 seconds
Execution time: 0.001432 seconds
Execution time: 0.001525 seconds
Execution time: 0.001187 seconds
Execution time: 0.001056 seconds
Execution time: 0.001998 seconds
Execution time: 0.001575 seconds
Execution time: 0.001256 seconds
Execution time: 0.001162 seconds
Execution time: 0.001170 seconds
Execution time: 0.001177 seconds
Execution time: 0.001292 seconds
Execution time: 0.001121 seconds
Execution time: 0.001268 seconds
Execution time: 0.001160 seconds
Execution time: 0.002003 seconds
Execution time: 0.001903 seconds
Execution time: 0.001608 seconds
Execution time: 0.001242 seconds
Execution time: 0.001267 seconds
Execution time: 0.001229 seconds
Execution time: 0.001678 seconds
Execution time: 0.002153 seconds
Execution time: 0.002761 seconds
Execution time: 0.001402 seconds
Execution time: 0.001346 seconds
Execution time: 0.001174 seconds
Execution time: 0.001675 seconds
Execution time: 0.001263 seconds
Execution time: 0.001080 seconds
Execution time: 0.001100 seconds
Execution time: 0.001168 seconds
Execution time: 0.001314 seconds
Execution time: 0.001733 seconds
Execution time: 0.001273 seconds
Execution time: 0.001133 seconds
Execution time: 0.001130 seconds
Execution time: 0.001086 seconds
Execution time: 0.001259 seconds
Execution time: 0.001172 seconds
Execution time: 0.001469 seconds
Execution time: 0.001262 seconds
Execution time: 0.001218 seconds
Execution time: 0.001867 seconds
Execution time: 0.001310 seconds
Execution time: 0.001134 seconds
Execution time: 0.001079 seconds
Execution time: 0.001084 seconds
Execution time: 0.001068 seconds
Execution time: 0.001063 seconds
Execution time: 0.001290 seconds
Execution time: 0.001034 seconds
Execution time: 0.001140 seconds
Execution time: 0.001084 seconds
Execution time: 0.002061 seconds
Execution time: 0.001397 seconds
Execution time: 0.001192 seconds
Execution time: 0.001159 seconds
Execution time: 0.001106 seconds
Execution time: 0.001081 seconds
Execution time: 0.001029 seconds
Execution time: 0.001112 seconds
Execution time: 0.001053 seconds
Execution time: 0.001205 seconds
Execution time: 0.001106 seconds
Execution time: 0.001800 seconds
Execution time: 0.001324 seconds
Execution time: 0.001283 seconds
Execution time: 0.001166 seconds
Execution time: 0.001118 seconds
Execution time: 0.001117 seconds
Execution time: 0.001237 seconds
Execution time: 0.001083 seconds
Execution time: 0.001161 seconds
Execution time: 0.001259 seconds
Execution time: 0.001178 seconds
Execution time: 0.001442 seconds
Execution time: 0.001656 seconds
Execution time: 0.001186 seconds
Execution time: 0.001052 seconds
Execution time: 0.001035 seconds
Execution time: 0.001010 seconds
Execution time: 0.001078 seconds
Execution time: 0.001240 seconds
Execution time: 0.001086 seconds
Execution time: 0.001109 seconds
Execution time: 0.001147 seconds
Execution time: 0.001289 seconds
Execution time: 0.001532 seconds
Execution time: 0.001381 seconds
Execution time: 0.001080 seconds
Execution time: 0.001032 seconds
Execution time: 0.001018 seconds
Execution time: 0.001084 seconds
Execution time: 0.001027 seconds
Execution time: 0.000978 seconds
Execution time: 0.001123 seconds
Average execution time: 0.001377 seconds
