POSCAR used: POSCAR_0
Execution time: 0.009768 seconds
Execution time: 0.002775 seconds
Execution time: 0.001376 seconds
Execution time: 0.001316 seconds
Execution time: 0.002168 seconds
Execution time: 0.001830 seconds
Execution time: 0.001306 seconds
Execution time: 0.001285 seconds
Execution time: 0.001234 seconds
Execution time: 0.001246 seconds
Execution time: 0.001248 seconds
Execution time: 0.001506 seconds
Execution time: 0.001531 seconds
Execution time: 0.002774 seconds
Execution time: 0.001964 seconds
Execution time: 0.004675 seconds
Execution time: 0.003695 seconds
Execution time: 0.004886 seconds
Execution time: 0.004170 seconds
Execution time: 0.004305 seconds
Execution time: 0.004632 seconds
Execution time: 0.003585 seconds
Execution time: 0.003503 seconds
Execution time: 0.003140 seconds
Execution time: 0.003081 seconds
Execution time: 0.002735 seconds
Execution time: 0.002432 seconds
Execution time: 0.002133 seconds
Execution time: 0.001990 seconds
Execution time: 0.002543 seconds
Execution time: 0.002516 seconds
Execution time: 0.001828 seconds
Execution time: 0.002135 seconds
Execution time: 0.002107 seconds
Execution time: 0.002382 seconds
Execution time: 0.003311 seconds
Execution time: 0.002541 seconds
Execution time: 0.002838 seconds
Execution time: 0.002819 seconds
Execution time: 0.002245 seconds
Execution time: 0.002531 seconds
Execution time: 0.002190 seconds
Execution time: 0.002054 seconds
Execution time: 0.001805 seconds
Execution time: 0.001785 seconds
Execution time: 0.001776 seconds
Execution time: 0.001587 seconds
Execution time: 0.002221 seconds
Execution time: 0.002395 seconds
Execution time: 0.001703 seconds
Execution time: 0.001573 seconds
Execution time: 0.001575 seconds
Execution time: 0.001524 seconds
Execution time: 0.001590 seconds
Execution time: 0.001523 seconds
Execution time: 0.002303 seconds
Execution time: 0.001746 seconds
Execution time: 0.001566 seconds
Execution time: 0.001649 seconds
Execution time: 0.001522 seconds
Execution time: 0.001564 seconds
Execution time: 0.001547 seconds
Execution time: 0.001714 seconds
Execution time: 0.002700 seconds
Execution time: 0.001715 seconds
Execution time: 0.001512 seconds
Execution time: 0.001695 seconds
Execution time: 0.002059 seconds
Execution time: 0.001944 seconds
Execution time: 0.001641 seconds
Execution time: 0.003456 seconds
Execution time: 0.001981 seconds
Execution time: 0.001664 seconds
Execution time: 0.001676 seconds
Execution time: 0.001634 seconds
Execution time: 0.001612 seconds
Execution time: 0.001628 seconds
Execution time: 0.001929 seconds
Execution time: 0.002057 seconds
Execution time: 0.001963 seconds
Execution time: 0.002075 seconds
Execution time: 0.002003 seconds
Execution time: 0.001916 seconds
Execution time: 0.002217 seconds
Execution time: 0.002601 seconds
Execution time: 0.001868 seconds
Execution time: 0.001775 seconds
Execution time: 0.001926 seconds
Execution time: 0.002067 seconds
Execution time: 0.001897 seconds
Execution time: 0.002124 seconds
Execution time: 0.002822 seconds
Execution time: 0.002262 seconds
Execution time: 0.002146 seconds
Execution time: 0.002135 seconds
Execution time: 0.002642 seconds
Execution time: 0.002998 seconds
Execution time: 0.002113 seconds
Execution time: 0.002097 seconds
Execution time: 0.001847 seconds
Average execution time: 0.002274 seconds
