POSCAR used: POSCAR_0
Execution time: 0.009141 seconds
Execution time: 0.002111 seconds
Execution time: 0.001630 seconds
Execution time: 0.001372 seconds
Execution time: 0.001147 seconds
Execution time: 0.001118 seconds
Execution time: 0.001169 seconds
Execution time: 0.001174 seconds
Execution time: 0.001301 seconds
Execution time: 0.001171 seconds
Execution time: 0.001200 seconds
Execution time: 0.002097 seconds
Execution time: 0.001412 seconds
Execution time: 0.001189 seconds
Execution time: 0.001317 seconds
Execution time: 0.001225 seconds
Execution time: 0.001168 seconds
Execution time: 0.001329 seconds
Execution time: 0.001381 seconds
Execution time: 0.001800 seconds
Execution time: 0.001530 seconds
Execution time: 0.001482 seconds
Execution time: 0.001397 seconds
Execution time: 0.001318 seconds
Execution time: 0.001187 seconds
Execution time: 0.001215 seconds
Execution time: 0.001620 seconds
Execution time: 0.002317 seconds
Execution time: 0.002381 seconds
Execution time: 0.002492 seconds
Execution time: 0.001986 seconds
Execution time: 0.001611 seconds
Execution time: 0.001579 seconds
Execution time: 0.001260 seconds
Execution time: 0.001152 seconds
Execution time: 0.001191 seconds
Execution time: 0.001441 seconds
Execution time: 0.001639 seconds
Execution time: 0.001353 seconds
Execution time: 0.001331 seconds
Execution time: 0.001235 seconds
Execution time: 0.001371 seconds
Execution time: 0.001843 seconds
Execution time: 0.002822 seconds
Execution time: 0.003217 seconds
Execution time: 0.002009 seconds
Execution time: 0.001631 seconds
Execution time: 0.001372 seconds
Execution time: 0.001315 seconds
Execution time: 0.001207 seconds
Execution time: 0.001188 seconds
Execution time: 0.001106 seconds
Execution time: 0.001284 seconds
Execution time: 0.002303 seconds
Execution time: 0.001366 seconds
Execution time: 0.001347 seconds
Execution time: 0.001348 seconds
Execution time: 0.001257 seconds
Execution time: 0.001373 seconds
Execution time: 0.001172 seconds
Execution time: 0.001233 seconds
Execution time: 0.001219 seconds
Execution time: 0.001734 seconds
Execution time: 0.001530 seconds
Execution time: 0.001345 seconds
Execution time: 0.001275 seconds
Execution time: 0.001186 seconds
Execution time: 0.001203 seconds
Execution time: 0.001465 seconds
Execution time: 0.001144 seconds
Execution time: 0.001243 seconds
Execution time: 0.001432 seconds
Execution time: 0.001683 seconds
Execution time: 0.001530 seconds
Execution time: 0.001385 seconds
Execution time: 0.001225 seconds
Execution time: 0.001599 seconds
Execution time: 0.001638 seconds
Execution time: 0.001719 seconds
Execution time: 0.001502 seconds
Execution time: 0.001578 seconds
Execution time: 0.001886 seconds
Execution time: 0.001530 seconds
Execution time: 0.001425 seconds
Execution time: 0.001431 seconds
Execution time: 0.001164 seconds
Execution time: 0.001180 seconds
Execution time: 0.001251 seconds
Execution time: 0.001196 seconds
Execution time: 0.001205 seconds
Execution time: 0.002053 seconds
Execution time: 0.001726 seconds
Execution time: 0.001871 seconds
Execution time: 0.001375 seconds
Execution time: 0.001179 seconds
Execution time: 0.001302 seconds
Execution time: 0.001227 seconds
Execution time: 0.001157 seconds
Execution time: 0.001278 seconds
Execution time: 0.001606 seconds
Average execution time: 0.001556 seconds
