POSCAR used: POSCAR_0
Execution time: 0.011223 seconds
Execution time: 0.002597 seconds
Execution time: 0.001160 seconds
Execution time: 0.001149 seconds
Execution time: 0.001627 seconds
Execution time: 0.001750 seconds
Execution time: 0.001198 seconds
Execution time: 0.001033 seconds
Execution time: 0.001180 seconds
Execution time: 0.001037 seconds
Execution time: 0.001076 seconds
Execution time: 0.001053 seconds
Execution time: 0.001024 seconds
Execution time: 0.000995 seconds
Execution time: 0.000992 seconds
Execution time: 0.001597 seconds
Execution time: 0.001485 seconds
Execution time: 0.001290 seconds
Execution time: 0.001028 seconds
Execution time: 0.001032 seconds
Execution time: 0.001094 seconds
Execution time: 0.001024 seconds
Execution time: 0.000950 seconds
Execution time: 0.001057 seconds
Execution time: 0.000993 seconds
Execution time: 0.001296 seconds
Execution time: 0.002246 seconds
Execution time: 0.002098 seconds
Execution time: 0.001328 seconds
Execution time: 0.001096 seconds
Execution time: 0.001050 seconds
Execution time: 0.001015 seconds
Execution time: 0.001073 seconds
Execution time: 0.000950 seconds
Execution time: 0.000962 seconds
Execution time: 0.001681 seconds
Execution time: 0.001116 seconds
Execution time: 0.001540 seconds
Execution time: 0.001392 seconds
Execution time: 0.001435 seconds
Execution time: 0.001080 seconds
Execution time: 0.001060 seconds
Execution time: 0.000995 seconds
Execution time: 0.001042 seconds
Execution time: 0.001073 seconds
Execution time: 0.000990 seconds
Execution time: 0.001027 seconds
Execution time: 0.000971 seconds
Execution time: 0.001159 seconds
Execution time: 0.002061 seconds
Execution time: 0.001311 seconds
Execution time: 0.001153 seconds
Execution time: 0.001050 seconds
Execution time: 0.001081 seconds
Execution time: 0.001038 seconds
Execution time: 0.000961 seconds
Execution time: 0.001138 seconds
Execution time: 0.001031 seconds
Execution time: 0.000987 seconds
Execution time: 0.001003 seconds
Execution time: 0.002243 seconds
Execution time: 0.001532 seconds
Execution time: 0.001123 seconds
Execution time: 0.001096 seconds
Execution time: 0.000998 seconds
Execution time: 0.000978 seconds
Execution time: 0.001395 seconds
Execution time: 0.001106 seconds
Execution time: 0.000988 seconds
Execution time: 0.000932 seconds
Execution time: 0.000983 seconds
Execution time: 0.001831 seconds
Execution time: 0.002117 seconds
Execution time: 0.001330 seconds
Execution time: 0.001120 seconds
Execution time: 0.001031 seconds
Execution time: 0.001705 seconds
Execution time: 0.001695 seconds
Execution time: 0.001788 seconds
Execution time: 0.001452 seconds
Execution time: 0.001901 seconds
Execution time: 0.001343 seconds
Execution time: 0.001188 seconds
Execution time: 0.001046 seconds
Execution time: 0.001066 seconds
Execution time: 0.001078 seconds
Execution time: 0.001093 seconds
Execution time: 0.001029 seconds
Execution time: 0.001059 seconds
Execution time: 0.001067 seconds
Execution time: 0.001294 seconds
Execution time: 0.002018 seconds
Execution time: 0.001589 seconds
Execution time: 0.001189 seconds
Execution time: 0.001084 seconds
Execution time: 0.000981 seconds
Execution time: 0.000988 seconds
Execution time: 0.001043 seconds
Execution time: 0.001010 seconds
Execution time: 0.001017 seconds
Average execution time: 0.001347 seconds
