POSCAR used: POSCAR_0
Execution time: 1.766423 seconds
Execution time: 0.003724 seconds
Execution time: 0.002573 seconds
Execution time: 0.002266 seconds
Execution time: 0.002525 seconds
Execution time: 0.002656 seconds
Execution time: 0.003051 seconds
Execution time: 0.003202 seconds
Execution time: 0.002550 seconds
Execution time: 0.002498 seconds
Execution time: 0.002605 seconds
Execution time: 0.003037 seconds
Execution time: 0.003888 seconds
Execution time: 0.002865 seconds
Execution time: 0.002730 seconds
Execution time: 0.002556 seconds
Execution time: 0.003836 seconds
Execution time: 0.003043 seconds
Execution time: 0.002660 seconds
Execution time: 0.002644 seconds
Execution time: 0.002628 seconds
Execution time: 0.003876 seconds
Execution time: 0.002776 seconds
Execution time: 0.002627 seconds
Execution time: 0.002548 seconds
Execution time: 0.002779 seconds
Execution time: 0.003796 seconds
Execution time: 0.002655 seconds
Execution time: 0.002531 seconds
Execution time: 0.002495 seconds
Execution time: 0.002617 seconds
Execution time: 0.003463 seconds
Execution time: 0.002781 seconds
Execution time: 0.002729 seconds
Execution time: 0.002617 seconds
Execution time: 0.002536 seconds
Execution time: 0.004283 seconds
Execution time: 0.002712 seconds
Execution time: 0.002533 seconds
Execution time: 0.002713 seconds
Execution time: 0.002608 seconds
Execution time: 0.003825 seconds
Execution time: 0.002733 seconds
Execution time: 0.002655 seconds
Execution time: 0.002564 seconds
Execution time: 0.002669 seconds
Execution time: 0.002828 seconds
Execution time: 0.002546 seconds
Execution time: 0.002769 seconds
Execution time: 0.002450 seconds
Execution time: 0.002437 seconds
Execution time: 0.004244 seconds
Execution time: 0.002908 seconds
Execution time: 0.002713 seconds
Execution time: 0.002640 seconds
Execution time: 0.002584 seconds
Execution time: 0.003662 seconds
Execution time: 0.002819 seconds
Execution time: 0.002692 seconds
Execution time: 0.002452 seconds
Execution time: 0.002547 seconds
Execution time: 0.003919 seconds
Execution time: 0.002827 seconds
Execution time: 0.002642 seconds
Execution time: 0.002447 seconds
Execution time: 0.002585 seconds
Execution time: 0.003759 seconds
Execution time: 0.002831 seconds
Execution time: 0.002752 seconds
Execution time: 0.002560 seconds
Execution time: 0.002609 seconds
Execution time: 0.003489 seconds
Execution time: 0.002915 seconds
Execution time: 0.002693 seconds
Execution time: 0.002549 seconds
Execution time: 0.002534 seconds
Execution time: 0.003966 seconds
Execution time: 0.002685 seconds
Execution time: 0.002626 seconds
Execution time: 0.002449 seconds
Execution time: 0.003466 seconds
Execution time: 0.003830 seconds
Execution time: 0.002739 seconds
Execution time: 0.002579 seconds
Execution time: 0.002533 seconds
Execution time: 0.003653 seconds
Execution time: 0.003188 seconds
Execution time: 0.002767 seconds
Execution time: 0.002564 seconds
Execution time: 0.002541 seconds
Execution time: 0.004750 seconds
Execution time: 0.002765 seconds
Execution time: 0.002657 seconds
Execution time: 0.002649 seconds
Execution time: 0.002609 seconds
Execution time: 0.003599 seconds
Execution time: 0.002732 seconds
Execution time: 0.002555 seconds
Execution time: 0.002500 seconds
Execution time: 0.002770 seconds
Average execution time: 0.020527 seconds
